symptoms,disease
"Diarrhea, vomiting, abdominal cramps, and dehydration.","Vibrio Infection (e.g., Vibrio cholerae)"
"Fatigue, weakness, numbness, and memory problems.",Vitamin B12 Deficiency
"Bone pain, muscle weakness, and increased risk of fractures.",Vitamin D Deficiency
"Fever, headache, sensitivity to light, and stiff neck.",Viral Meningitis
"Itching, pain, and changes in vulvar skin.",Vulvar Cancer
"Back pain, fever, and neurological symptoms depending on affected area.",Vertebral Osteomyelitis
"Shortness of breath, fatigue, and palpitations.",Valvular Heart Disease
"Sudden loss of consciousness, no pulse, and no breathing.",Ventricular Fibrillation
"Itching, burning, and abnormal vaginal discharge.",Vulvovaginal Candidiasis (Yeast Infection)
"Small, fleshy growths in the genital area, itching, and discomfort.",Venereal Warts
"Memory loss, confusion, and difficulty with reasoning.",Vascular Dementia
"Itching, burning, and lesions on the vulva.",Vulvar Lichen Planus
"Fever, cough, chest pain, and fatigue.",Valley Fever (Coccidioidomycosis)
"Fragile skin, easy bruising, and blood vessel complications.",Vascular Ehlers-Danlos Syndrome
"Blisters and pustules on the skin, fever, and systemic symptoms.",Vesiculopustular Diseases
"Varies by disease; can include fever, rash, and other specific symptoms.",Vaccine-Preventable Diseases
"Fatigue, weakness, gum disease, and skin problems.",Vitamin C Deficiency (Scurvy)
"Fainting, lightheadedness, and sweating.",Vasovagal Syncope
"Persistent visual disturbances, including seeing static or snow in the visual field.",Visual Snow Syndrome
Emotional and psychological symptoms resulting from witnessing trauma indirectly.,Vicarious Trauma
"Pain, swelling, bruising, and systemic symptoms like nausea and weakness.",Venomous Snake Bites
"Vaginal dryness, irritation, and discomfort during intercourse.",Vaginal Atrophy
"Palpitations, dizziness, and syncope (fainting).",Ventricular Arrhythmias
"Itching, burning, and redness of the vulva.",Vulvitis
"Varies widely; may include pain, swelling, and functional impairment depending on location.",Vascular Malformations
"Difficulty breathing, wheezing, and a feeling of throat tightness.",Vocal Cord Dysfunction
"Blisters on the skin, fever, and general malaise.",Vesicular Exanthema
"Easy bruising, bleeding gums, and heavy menstrual periods.",Vitamin K Deficiency
"Rectal bleeding, changes in bowel habits, and abdominal pain.",Villous Adenoma
"Redness, itching, and discharge from the eyes.",Viral Conjunctivitis
"High fever, bleeding, and multi-organ dysfunction.",Viral Hemorrhagic Fevers
"Sudden vision loss, floaters, and blurred vision.",Vitreous Hemorrhage
"Cough, fever, difficulty breathing, and chest discomfort.",Viral Pneumonia
"Dizziness, vertigo, and balance issues.",Vestibular Neuritis
"Nasal congestion, runny nose, and sneezing due to non-allergic triggers.",Vasomotor Rhinitis
"Pain during intercourse, burning, and irritation in the vulvar area.",Vulvar vestibulitis
"Pain, swelling, and redness at the access site, possibly leading to systemic infections.",Vascular Access Complications
"Palpitations, dizziness, chest pain, and loss of consciousness.",Ventricular Tachycardia
"Symptoms depend on the specific vascular system affected, often including pain and numbness.",Vascular Disease
"Back pain, loss of height, and spinal deformity.",Vertebral Fractures
"Leakage of urine through the vagina, recurrent urinary tract infections, and vaginal irritation.",Vesicovaginal Fistula
"Abdominal pain, vomiting, and constipation due to twisting of the intestine.",Volvulus
"Fever, chills, and signs of infection at the device implantation site.",Ventricular Assist Device Infection
"Varies by vaccine; can include fever, rash, and local site reactions.",Vaccine Reactions
"Pain, swelling, and necrosis at the injection site from vesicant drugs.",Vesicant Injury
"Itching, burning, and abnormal vaginal discharge, often resembling cottage cheese.",Vaginal Candidiasis
"Fatigue, palpitations, and symptoms of heart failure.",Valvular Insufficiency
"Swelling in the legs, pain, and varicose veins.",Venous Insufficiency
"Chronic pain in the vulvar area, often associated with inflammation.",Vulvar Pain Syndromes
Chest pain due to reduced blood flow caused by spasm of the coronary arteries.,Vasospastic Angina
"Changes in heart shape and function, often after a heart attack.",Ventricular Remodeling
"Swelling, aching, and visible veins in the legs.",Varicose Veins
"Symptoms vary; common signs include itching, burning, and abnormal discharge.",Vaginal Infections
"Fever, weight loss, and splenomegaly; caused by Leishmania parasites.",Visceral Leishmaniasis
"Fractures, height loss, and back pain due to weakened vertebrae.",Vertebral Osteoporosis
"Difficulty swallowing, respiratory problems, and stridor in infants.",Vascular Ring
"Painful blisters and pustules on the skin, often due to infection.",Vesicular Pustular Dermatitis
"Severe headache, nausea, and sensitivity to light and sound.","Vascular Headaches (e.g., Migraines)"
"Watery diarrhea, abdominal cramping, and, in severe cases, skin infections.",Vibrio Vulnificus Infection
"Hearing loss, tinnitus, and balance issues.",Vestibular Schwannoma (Acoustic Neuroma)
"Small, rough growths on the skin, typically painless.",Warts (Viral)
"Diarrhea, vomiting, abdominal cramps, and fever (e.g., cholera, typhoid).",Waterborne Diseases
"Severe coughing fits, runny nose, nasal congestion, and vomiting after coughing.",Whooping Cough (Pertussis)
"Confusion, memory problems, and coordination issues; often associated with alcoholism.",Wernicke-Korsakoff Syndrome
"Fever, headache, body aches, rash, and, in severe cases, neurological symptoms.",West Nile Virus Infection
"Eczema, recurrent infections, and low platelet counts (thrombocytopenia).",Wiskott-Aldrich Syndrome
"Palpitations, dizziness, and fainting; caused by an extra electrical pathway in the heart.",Wolff-Parkinson-White Syndrome
"Diarrhea, weight loss, abdominal pain, and malabsorption of nutrients.",Whipple’s Disease
"Sinusitis, respiratory issues, and kidney problems.",Wegener’s Granulomatosis (Granulomatosis with Polyangiitis)
"Neck pain, stiffness, and a tilted head position.",Wry Neck (Torticollis)
"Respiratory issues, eye irritation, and increased risk of cardiovascular problems.",Wildfire Smoke Exposure
"Liver dysfunction, neurological symptoms, and psychiatric disturbances due to copper accumulation.",Wilson’s Disease
"Confusion, ataxia, and ophthalmoplegia; often due to thiamine deficiency.",Wernicke’s Encephalopathy
"Nausea, headache, confusion, and seizures due to excessive water intake.",Water Intoxication (Hyponatremia)
"Redness, swelling, warmth, pus formation, and pain around the wound site.",Wound Infections
"Unintentional weight loss, muscle wasting, and fatigue, often associated with chronic illness.",Wasting Syndrome (Cachexia)
"Symptoms vary widely depending on the specific disorder (e.g., leukemias, lymphomas).",White Blood Cell Disorders
"Unusual hair texture, typically very curly or frizzy, often associated with other syndromes.",Woolly Hair Syndrome
"Pain, swelling, and decreased range of motion in the wrist area.",Wrist Fractures
"Fluent but nonsensical speech, inability to understand language.",Wernicke’s Aphasia
"Excessive tearing, often caused by blockages or irritation.",Watering Eyes (Epiphora)
"Neck pain, stiffness, and headaches due to neck strain from sudden movement.",Whiplash
"Pain and swelling near the base of the thumb, difficulty gripping objects.",Wrist Tendonitis (De Quervain's)
"Chronic cough, fever, night sweats, and weight loss; historical term for TB.",White Plague (Tuberculosis)
"Abnormal vaginal bleeding, pelvic pain, and weight loss.",Womb Cancer (Endometrial Cancer)
"Weight loss, behavioral changes, and other neurological symptoms in deer and elk.",Wasting Disease (Chronic Wasting Disease)
"Hardening of breast tissue, often associated with certain infections or conditions.",Wooden Breast Syndrome
"High-pitched whistling sound during breathing, often associated with asthma or COPD.",Wheeze
"Neck pain, stiffness, and headaches following a whiplash injury.",Whiplash Associated Disorders
"Fatigue, weight loss, and bleeding problems due to excess IgM antibodies.",Waldenström Macroglobulinemia
"Confusion, ataxia, and ophthalmoplegia; associated with thiamine deficiency.",Wernicke's Encephalopathy
"Extreme sensitivity to sunlight, skin damage, freckling, and increased risk of skin cancers.",Xeroderma Pigmentosum
"Recurrent infections, especially bacterial infections due to lack of antibodies.",X-linked Agammaglobulinemia
"Bone pain, dental abscesses, and rickets due to phosphate loss.",X-linked Hypophosphatemia
"Yellowish deposits on the skin, often associated with high cholesterol levels.",Xanthoma
"Yellowish plaques on the eyelids, usually harmless but indicative of cholesterol issues.",Xanthelasma
"Dry mouth, difficulty swallowing, and altered taste sensation.",Xerostomia (Dry Mouth)
"Recurrent infections, failure to thrive, and chronic diarrhea.",X-linked Severe Combined Immunodeficiency (X-SCID)
"Fatigue, muscle pain, and cognitive difficulties; linked to some chronic illnesses.",Xenotropic Murine Leukemia Virus-Related Virus (XMRV)
"Fever, chills, loss of appetite, muscle pain, headaches, nausea, and vomiting. Severe cases can lead to liver damage and jaundice.",Yellow Fever
"Abdominal pain, diarrhea (often bloody), fever, and vomiting. Caused by the bacteria Yersinia enterocolitica.",Yersiniosis
"Skin lesions, sores, and ulcers, mainly on the skin, bones, and joints. Caused by the bacterium Treponema pertenue.",Yaws
"Yellow nails, respiratory issues, and lymphatic system abnormalities.",Yellow Nail Syndrome
"Caused by exposure to the Yokohama virus; symptoms include fever, malaise, and sometimes rash.",Yokohama Disease
Inability to conceive due to genetic factors related to the Y chromosome. Symptoms relate to fertility issues.,Y chromosome infertility
"Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain, and headache. Severe cases can lead to complications such as Guillain-Barré syndrome and birth defects.",Zika Virus
"Severe recurrent peptic ulcers, abdominal pain, diarrhea, and excessive stomach acid production.",Zollinger-Ellison Syndrome
"Nasal congestion, headache, facial swelling, fever, cough, chest pain, and gastrointestinal symptoms. Commonly affects immunocompromised individuals.",Zygomycosis (Mucormycosis)
"Difficulty swallowing (dysphagia), regurgitation of undigested food, bad breath (halitosis), and throat discomfort.",Zenker's Diverticulum
"Painful rash, blisters, itching, fever, headache, and fatigue. Caused by the reactivation of the varicella-zoster virus.",Zoster (Shingles)
"Abdominal pain, diarrhea, and gastroesophageal reflux disease due to gastrin-secreting tumors in the pancreas.",Zollinger-Ellison syndrome
"chest pain or discomfort, fatigue, shortness of breath, irregular heartbeat , swelling in legs, ankles, or feet, fever, fainting.",Autoimmune Myocarditis
"Involuntary weight loss, Chronic diarrhea, Fever, Loss of appetite, Chronic fatigue, Night sweats, Generalized weakness",AIDS-related Wasting Syndrome
